w.440,r.440,w.500,r.500,w.675,r.675,w.870,r.870,w.1020,r.1020,w.1640,r.1640,w.2130,r.2130
441.25782,0.8463034599,0.0,0.0,0.0,0.0,871.25782,0.9969644536,1021.04819,0.9939034133,1635.72215,0.97729009991,0,0
441.29537,0.846664696,0.0,0.0,0.0,0.0,871.29537,0.99699142193,1021.07947,0.9938781969,1635.78849,0.9774318776,0,0
441.33292,0.8471582728,0.0,0.0,0.0,0.0,871.33292,0.99800347482,1021.11076,0.9938368339,1635.85482,0.9774318776,0,0
441.37046,0.847768865,0.0,0.0,0.0,0.0,871.37046,0.99795520308,1021.14205,0.9937787501,1635.92115,0.97729507025,0,0
441.40801,0.848492603,0.0,0.0,0.0,0.0,871.40801,0.99597673472,1021.17334,0.9937033722,1635.98748,0.97960068082,0,0
441.44556,0.849328948,0.0,0.0,0.0,0.0,871.44556,0.99299692512,1021.20463,0.9936101281,1636.05382,0.97732914744,0,0
441.4831,0.8502774615,0.0,0.0,0.0,0.0,871.4831,0.99330192254,1021.23592,0.9934984466,1636.12015,0.9774318776,0,0
441.52065,0.8513133267,0.0,0.0,0.0,0.0,871.52065,0.99461932455,1021.26721,0.9933748286,1636.18648,0.9774318776,0,0
441.5582,0.852461815,0.0,0.0,0.0,0.0,871.5582,0.99491934164,1021.2985,0.9932367585,1636.25282,0.97739078951,0,0
441.59574,0.8537822347,0.0,0.0,0.0,0.0,871.59574,0.99369600828,1021.32979,0.9930766612,1636.31915,0.9801171494,0,0
441.63329,0.8553745615,0.0,0.0,0.0,0.0,871.63329,0.99524411181,1021.36108,0.9928927581,1636.38548,0.98308008848,0,0
441.67084,0.8571692497,0.0,0.0,0.0,0.0,871.67084,0.99701607891,1021.39237,0.9926832733,1636.45181,0.98417592643,0,0
441.70839,0.8591295683,0.0,0.0,0.0,0.0,871.70839,0.99686236113,1021.42365,0.9924464363,1636.51815,0.98637090857,0,0
441.74593,0.861226388,0.0,0.0,0.0,0.0,871.74593,0.99459009343,1021.45494,0.9921804771,1636.58448,0.98654788082,0,0
441.78348,0.8634533029,0.0,0.0,0.0,0.0,871.78348,0.99626910347,1021.48623,0.9918836326,1636.65081,0.98546537012,0,0
441.82103,0.8657573724,0.0,0.0,0.0,0.0,871.82103,0.99902930859,1021.51752,0.9915524416,1636.71715,0.98410424564,0,0
441.85857,0.8681639661,0.0,0.0,0.0,0.0,871.85857,1.0,1021.54881,0.9911856734,1636.78348,0.98420711152,0,0
441.89612,0.8707478509,0.0,0.0,0.0,0.0,871.89612,0.99786992804,1021.5801,0.9907832121,1636.84981,0.98428096052,0,0
441.93367,0.873680306,0.0,0.0,0.0,0.0,871.93367,0.99635727339,1021.61139,0.990343602,1636.91615,0.98318354774,0,0
441.97121,0.8767780696,0.0,0.0,0.0,0.0,871.97121,0.99516118278,1021.64268,0.9898653964,1636.98248,0.98184260679,0,0
442.00876,0.879920606,0.0,0.0,0.0,0.0,872.00876,0.99406607505,1021.67397,0.9893471555,1637.04881,0.98194349806,0,0
442.04631,0.8829994605,0.0,0.0,0.0,0.0,872.04631,0.99296796247,1021.70526,0.9887874469,1637.11514,0.98194349806,0,0
442.08385,0.8860221802,0.0,0.0,0.0,0.0,872.08385,0.99113500282,1021.73655,0.9881848479,1637.18148,0.98194349806,0,0
442.1214,0.8889214278,0.0,0.0,0.0,0.0,872.1214,0.99102294273,1021.76783,0.9875297601,1637.24781,0.98181149167,0,0
442.15895,0.8916917215,0.0,0.0,0.0,0.0,872.15895,0.99226785987,1021.79912,0.9868235632,1637.31414,0.98413957395,0,0
442.1965,0.8943634476,0.0,0.0,0.0,0.0,872.1965,0.99234560843,1021.83041,0.9860724094,1637.38048,0.98466157309,0,0
442.23404,0.8969945808,0.0,0.0,0.0,0.0,872.23404,0.98788035581,1021.8617,0.985276265,1637.44681,0.98648195961,0,0
442.27159,0.8995010982,0.0,0.0,0.0,0.0,872.27159,0.98479249932,1021.89299,0.9844351049,1637.51314,0.9881455521,0,0
442.30914,0.9018211151,0.0,0.0,0.0,0.0,872.30914,0.98452909589,1021.92428,0.9835489081,1637.57947,0.98878183019,0,0
442.34668,0.9038977801,0.0,0.0,0.0,0.0,872.34668,0.9852703226,1021.95557,0.982617661,1637.64581,0.98635945437,0,0
442.38423,0.905753303,0.0,0.0,0.0,0.0,872.38423,0.98560255743,1021.98686,0.9816413583,1637.71214,0.98647594315,0,0
442.42178,0.9073691926,0.0,0.0,0.0,0.0,872.42178,0.98706087914,1022.01815,0.9806047834,1637.77847,0.98647594315,0,0
